student_id,gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,math_difficulty,reading_difficulty,writing_difficulty
S1000,female,group B,bachelor's degree,standard,none,72,72,74,0.75,0.88,0.89
S1001,female,group C,some college,standard,completed,69,90,88,0.76,0.86,0.74
S1002,female,group B,master's degree,standard,none,90,95,93,0.85,0.82,0.65
S1003,male,group A,associate's degree,free/reduced,none,47,57,44,0.81,0.92,0.71
S1004,male,group C,some college,standard,none,76,78,75,0.57,0.77,0.52
S1005,female,group B,associate's degree,standard,none,71,83,78,0.58,0.97,0.65
S1006,female,group B,some college,standard,completed,88,95,92,0.81,0.81,0.41
S1007,male,group B,some college,free/reduced,none,40,43,39,0.61,0.67,0.55
S1008,male,group D,high school,free/reduced,completed,64,64,67,0.92,0.81,0.84
S1009,female,group B,high school,free/reduced,none,38,60,50,0.76,0.77,0.62
S1010,male,group C,associate's degree,standard,none,58,54,52,0.7,0.68,0.79
S1011,male,group D,associate's degree,standard,none,40,52,43,0.61,0.79,0.57
S1012,female,group B,high school,standard,none,65,81,73,0.58,0.83,0.74
S1013,male,group A,some college,standard,completed,78,72,70,0.83,0.69,0.89
S1014,female,group A,master's degree,standard,none,50,53,58,0.55,0.7,0.77
S1015,female,group C,some high school,standard,none,69,75,78,0.54,0.77,0.6
S1016,male,group C,high school,standard,none,88,89,86,0.79,0.74,0.81
S1017,female,group B,some high school,free/reduced,none,18,32,28,0.6,0.97,0.69
S1018,male,group C,master's degree,free/reduced,completed,46,42,46,0.71,0.86,0.56
S1019,female,group C,associate's degree,free/reduced,none,54,58,61,0.93,0.77,0.7
S1020,male,group D,high school,standard,none,66,69,63,0.76,0.97,0.63
S1021,female,group B,some college,free/reduced,completed,65,75,70,0.75,0.89,0.5
S1022,male,group D,some college,standard,none,44,54,53,0.76,0.84,0.73
S1023,female,group C,some high school,standard,none,69,73,73,0.65,0.89,0.72
S1024,male,group D,bachelor's degree,free/reduced,completed,74,71,80,0.87,0.82,0.79
S1025,male,group A,master's degree,free/reduced,none,73,74,72,0.59,0.98,0.89
S1026,male,group B,some college,standard,none,69,54,55,0.87,0.87,0.53
S1027,female,group C,bachelor's degree,standard,none,67,69,75,0.57,0.92,0.88
S1028,male,group C,high school,standard,none,70,70,65,0.66,0.71,0.51
S1029,female,group D,master's degree,standard,none,62,70,75,0.66,0.67,0.64
S1030,female,group D,some college,standard,none,69,74,74,0.58,0.68,0.67
S1031,female,group B,some college,standard,none,63,65,61,0.62,0.93,0.79
S1032,female,group E,master's degree,free/reduced,none,56,72,65,0.95,0.62,0.69
